Date,12:00 AM,12:15 AM,12:30 AM,12:45 AM,1:00 AM,1:15 AM,1:30 AM,1:45 AM,2:00 AM,2:15 AM,2:30 AM,2:45 AM,3:00 AM,3:15 AM,3:30 AM,3:45 AM,4:00 AM,4:15 AM,4:30 AM,4:45 AM,5:00 AM,5:15 AM,5:30 AM,5:45 AM,6:00 AM,6:15 AM,6:30 AM,6:45 AM,7:00 AM,7:15 AM,7:30 AM,7:45 AM,8:00 AM,8:15 AM,8:30 AM,8:45 AM,9:00 AM,9:15 AM,9:30 AM,9:45 AM, 10:00 AM, 10:15 AM, 10:30 AM, 10:45 AM, 11:00 AM, 11:15 AM, 11:30 AM, 11:45 AM, 12:00 PM, 12:15 PM, 12:30 PM, 12:45 PM, 1:00 PM, 1:15 PM, 1:30 PM, 1:45 PM, 2:00 PM, 2:15 PM, 2:30 PM, 2:45 PM, 3:00 PM, 3:15 PM, 3:30 PM, 3:45 PM, 4:00 PM, 4:15 PM, 4:30 PM, 4:45 PM, 5:00 PM, 5:15 PM, 5:30 PM, 5:45 PM, 6:00 PM, 6:15 PM, 6:30 PM, 6:45 PM, 7:00 PM, 7:15 PM, 7:30 PM, 7:45 PM, 8:00 PM, 8:15 PM, 8:30 PM, 8:45 PM, 9:00 PM, 9:15 PM, 9:30 PM, 9:45 PM, 10:00 PM, 10:15 PM, 10:30 PM, 10:45 PM, 11:00 PM, 11:15 PM, 11:30 PM, 11:45 PM
1/1/2019,33.92,32.96,38.08,38.4,38.08,39.68,40.64,37.12,39.36,40.32,36.8,38.72,40.96,36.48,38.08,39.04,38.08,37.44,40,38.4,36.48,38.4,36.8,33.92,38.72,36.16,35.84,38.72,35.52,34.24,39.04,36.48,35.84,38.72,35.52,34.24,36.8,35.84,37.12,36.8,37.76,34.56,36.16,38.72,35.2,37.44,36.48,34.88,35.52,35.84,36.8,35.2,37.76,39.36,37.12,38.4,37.76,38.08,38.4,36.48,37.44,41.28,32.64,31.04,37.44,32,31.68,36.48,32,33.28,37.12,31.68,32.32,34.24,32.32,33.28,35.84,31.36,36.16,39.68,37.12,36.8,38.08,35.52,35.84,38.72,36.8,36.48,37.44,36.16,35.84,38.08,33.6,32.32,32.64,33.6, 
1/2/2019,32.32,32.96,38.08,36.48,38.72,39.68,36.48,38.4,38.4,38.4,36.48,40.64,35.2,38.4,38.72,36.16,39.36,39.68,35.84,39.04,38.72,35.52,36.8,37.12,38.4,34.88,36.8,37.44,35.84,36.16,37.12,36.48,35.52,36.16,34.56,35.84,37.76,34.56,35.52,36.8,34.56,37.44,37.12,34.56,34.88,37.44,33.92,34.56,37.12,35.2,34.88,36.8,35.84,36.48,39.04,37.12,39.04,43.2,38.08,38.72,40.96,39.04,33.92,35.2,36.8,43.84,44.48,41.6,44.8,45.12,43.2,46.08,44.16,45.12,40.96,44.8,43.84,42.56,48.64,48,46.4,46.08,46.4,44.8,46.08,46.72,44.16,45.76,48.32,45.76,44.8,47.36,43.2,40.96,44.48,41.92, 
1/3/2019,42.56,41.92,45.12,46.4,45.44,41.6,41.92,42.56,41.28,42.56,43.52,40.64,41.6,39.36,43.2,38.4,41.6,40.32,41.6,40,42.88,38.08,41.28,36.16,36.48,40,35.2,39.68,34.88,39.68,34.56,34.88,39.68,34.56,37.12,37.76,36.16,35.84,34.56,38.08,34.88,37.44,38.4,35.2,36.8,35.2,37.12,36.8,35.84,36.48,34.24,37.44,37.12,38.08,38.08,37.12,39.36,39.68,38.72,37.76,36.8,40.32,33.28,37.12,35.2,37.76,41.6,35.84,42.88,39.68,40.96,41.28,41.6,42.24,42.24,39.04,44.48,43.2,46.4,42.56,44.8,46.08,42.56,44.8,42.24,41.92,43.52,40.96,45.12,43.52,43.2,44.16,43.52,44.8,40.96,43.52, 
1/4/2019,40.32,40,47.36,47.04,47.68,44.8,42.56,43.2,42.56,45.44,40.96,40,44.16,40.32,46.4,39.36,43.84,42.88,42.56,43.84,37.44,38.72,38.72,33.92,41.92,35.2,38.08,37.76,37.44,36.16,35.2,35.52,38.72,35.2,38.4,33.92,35.84,37.12,34.56,39.36,33.28,34.56,38.08,34.24,38.4,35.2,34.88,36.16,36.8,36.16,34.24,34.24,39.04,36.16,38.72,37.12,40,38.4,37.12,40,40.32,39.04,34.88,35.2,41.28,38.08,41.28,40.64,39.04,43.2,39.36,43.2,39.04,42.24,41.6,42.56,44.48,44.48,44.48,47.36,44.48,46.4,45.44,42.24,43.84,42.56,45.44,43.2,43.2,47.04,45.12,42.88,44.48,41.92,41.6,44.48, 
1/5/2019,46.4,47.68,49.92,51.52,48.96,47.36,45.44,42.88,43.84,47.04,45.12,42.24,42.88,41.92,41.92,44.48,41.92,40,41.28,40.64,36.48,39.36,35.52,36.48,38.08,34.56,36.16,39.04,34.24,36.16,38.4,34.24,38.08,36.8,34.88,36.8,36.8,35.52,37.44,36.48,33.92,37.76,36.48,36.48,36.48,34.88,35.84,38.4,34.56,36.16,37.76,35.2,33.92,38.08,35.84,36.48,36.8,35.52,35.84,39.04,37.76,37.76,35.52,32.96,35.2,37.44,33.28,32.64,36.8,34.88,33.92,35.84,33.6,34.88,36.48,33.6,33.6,36.16,34.24,33.6,37.12,35.2,32.32,38.08,34.88,34.56,38.08,33.6,33.28,37.12,33.28,36.48,36.16,34.56,33.6,37.44, 
1/6/2019,35.2,33.92,40,37.44,41.92,40.96,40.32,38.72,37.44,37.76,37.44,38.72,36.8,36.8,37.12,38.72,36.48,36.8,37.44,34.88,38.72,36.8,34.56,38.08,36.8,35.2,37.44,36.48,34.88,39.04,36.48,35.52,35.84,36.16,37.44,36.8,36.48,33.28,39.68,35.84,35.2,37.44,35.52,35.52,37.44,37.44,32.96,39.68,33.92,37.12,36.48,35.52,34.24,37.76,37.44,33.92,38.4,32.96,36.48,40,35.52,36.8,34.56,30.4,33.28,36.8,29.76,31.04,33.6,31.36,34.24,31.68,31.68,30.4,31.68,32.64,31.04,33.28,31.36,32.96,34.88,31.04,33.6,31.68,30.08,32.32,29.76,32.64,32.96,31.04,32,30.72,32.32,30.72,32.32,32.96, 
1/7/2019,30.4,33.28,35.2,33.6,40,36.48,35.84,39.36,36.16,38.72,38.4,35.84,38.08,37.76,38.4,39.04,38.72,39.68,36.8,40.96,39.68,34.88,40.96,35.2,37.44,40.64,34.56,39.36,40,34.56,39.04,36.48,38.08,36.8,38.08,33.92,38.72,36.16,37.12,36.8,35.52,37.76,36.8,37.12,34.56,37.12,37.76,34.56,39.36,36.16,35.84,38.4,34.88,38.08,40.96,36.8,39.04,38.4,37.76,37.76,40.96,39.36,34.24,37.12,39.68,42.24,45.44,44.16,42.88,48,44.8,41.92,44.16,45.76,45.76,47.04,45.76,45.44,43.52,46.72,47.36,48.32,46.08,44.8,47.68,46.4,45.44,47.68,45.44,46.72,48.64,45.76,47.04,49.28,45.44,42.56, 
1/8/2019,45.76,43.2,48,49.6,47.04,45.44,44.8,45.12,44.8,48.64,41.28,45.44,42.56,44.48,41.28,45.76,41.28,45.44,41.28,41.28,43.52,39.04,43.2,39.68,41.92,37.44,41.92,37.44,42.24,39.68,40.64,39.04,45.12,40.32,42.56,38.72,40.96,40.64,39.04,41.92,39.36,38.4,36.48,36.16,37.44,37.76,38.4,37.12,39.68,35.2,35.2,39.68,38.4,39.04,41.28,38.08,38.4,40,44.48,41.28,45.76,40.96,38.72,37.44,44.16,39.36,44.8,42.24,45.12,42.88,46.72,43.84,42.88,44.8,42.88,43.2,43.84,44.16,44.48,49.6,46.72,44.48,49.28,41.92,42.24,46.08,41.92,44.16,42.24,43.84,42.24,43.2,46.4,45.12,45.12,45.76, 
1/9/2019,40.96,46.4,48,46.4,47.68,43.52,45.44,40,44.48,40,40.96,41.6,41.6,40,41.28,40.96,37.44,41.92,39.68,39.68,38.4,38.4,37.12,37.44,38.4,34.88,36.8,40.32,34.56,37.12,40.32,37.12,39.68,39.36,34.56,39.04,34.56,38.72,36.48,39.36,34.56,37.12,34.24,35.52,37.76,35.2,35.52,35.84,35.2,33.92,39.68,32.96,37.76,36.16,37.76,35.52,41.28,35.52,40.96,37.44,40,37.76,36.16,34.24,36.16,38.72,37.44,41.92,40.64,44.48,39.04,44.48,41.92,41.92,46.08,40.32,42.88,42.56,42.56,42.56,47.68,44.48,44.16,44.16,41.92,40.64,45.44,43.84,39.68,45.12,40,45.44,42.24,41.92,40.64,43.2, 
1/10/2019,40,42.24,43.2,46.4,43.52,45.76,43.52,42.24,46.72,40.96,43.84,44.8,41.92,38.4,44.8,38.08,43.84,36.8,41.92,42.56,40.96,39.36,39.36,34.88,38.08,33.6,38.72,33.92,37.44,33.28,38.4,34.88,36.48,36.16,35.84,33.92,39.04,33.92,35.84,36.48,35.52,35.52,34.56,32.96,33.92,33.6,32.64,34.56,34.88,32.64,34.56,35.52,34.24,34.88,35.52,36.48,35.2,35.52,35.52,36.16,37.76,38.72,31.68,33.6,33.6,33.92,42.24,40,42.24,45.44,42.56,41.92,43.52,43.2,46.08,48.96,47.68,45.76,47.36,47.04,46.08,48,47.36,44.16,45.12,45.76,44.16,44.8,48.32,46.72,46.4,47.36,43.2,43.84,45.44,39.68, 
